Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
18/07/2022,1450,1493.6,1448.05,1489.9,5835171
19/07/2022,1471.55,1486.85,1470.1,1484.15,3418540
20/07/2022,1501.25,1525.8,1500,1515.3,5079392
21/07/2022,1517,1535.45,1503.1,1532.9,5008061
22/07/2022,1534,1540,1492.15,1506.3,7020642
25/07/2022,1480.1,1517.15,1480.1,1503.6,7859626
26/07/2022,1496.65,1496.65,1445,1451.15,7268273
27/07/2022,1451,1473,1445,1471.05,4517285
28/07/2022,1496.4,1524.45,1489.85,1517.4,6636841
29/07/2022,1532.8,1555.7,1528,1549.7,7009465
01/08/2022,1564,1564,1537.9,1551.05,2983249
02/08/2022,1546.55,1547,1528.35,1543.6,4374635
03/08/2022,1549,1570,1539.9,1566.1,6011955
04/08/2022,1587.5,1603.85,1574.95,1599.9,7402209
05/08/2022,1608.4,1625.7,1602.3,1616.65,5361971
08/08/2022,1617,1622,1596,1619.4,3763409
10/08/2022,1621.2,1621.2,1588.1,1602.45,4423829
11/08/2022,1630,1631.35,1616,1619.95,3462090
12/08/2022,1613.3,1614,1590.15,1594.1,3562286
16/08/2022,1609,1609,1591.1,1596.45,3004430
17/08/2022,1596.45,1612,1585,1606.25,4067324
18/08/2022,1594.1,1598.2,1574,1582.95,4635706
19/08/2022,1585.3,1604.9,1585.1,1597.1,4739884
22/08/2022,1586,1599,1574,1575.65,3950555
23/08/2022,1548,1554.5,1533,1542.4,5551574
24/08/2022,1535,1546,1531,1537.5,2888426
25/08/2022,1548,1548.7,1513.75,1518.15,4331088
26/08/2022,1535.15,1544.95,1517.45,1521.55,3079136
29/08/2022,1468.55,1468.55,1450,1461.75,8079050
30/08/2022,1473.1,1496.1,1466,1492.95,6725875
01/09/2022,1460.05,1468.1,1451.05,1464.2,8140604
02/09/2022,1478,1478,1448,1453,5175653
05/09/2022,1451,1467,1446.35,1461.3,3669352
06/09/2022,1461.3,1470,1445.45,1455.1,3428442
07/09/2022,1440,1465.75,1438.05,1457.65,3600574
08/09/2022,1475,1481.1,1463.6,1475.9,4061475
09/09/2022,1488,1520,1480,1511.65,4816910
12/09/2022,1525.8,1545.9,1521.15,1536.2,5494819
13/09/2022,1551.9,1553,1541.3,1544.95,4947158
14/09/2022,1497,1498.95,1472,1475.4,14332197
15/09/2022,1475,1475.2,1429.05,1432.8,12784100
16/09/2022,1425,1425,1368.35,1377.05,20464045
19/09/2022,1392,1406,1380.6,1390.3,6595241
